N,Unnamed: 1,Unnamed: 2
0,300.0,0.0
4.934e-05,331.475,0.0
9.868e-05,360.18,0.0
0.00014803,386.423,0.0
0.00019737,410.492,0.0
0.00029605,452.851,0.0
0.00039474,489.558,0.0
0.00049342,522.005,0.0
0.00059211,551.304,0.0
0.00078947,602.922,0.0
0.00098684,650.452,0.0
0.00118421,696.852,0.0
0.00138158,744.143,0.0
0.00157895,793.839,0.0
0.00177632,847.271,0.0
0.00197368,905.918,0.0
0.00207237,938.122,0.0
0.00217105,972.838,0.0
0.00226974,1010.665,0.0
0.00236842,1052.37,0.0
0.00246711,1098.883,0.0
0.00251645,1124.353,0.0
0.00256579,1151.444,0.0
0.00259046,1165.621,0.0
0.00261513,1180.223,0.0
0.0026398,1195.238,0.0
0.00266447,1210.645,0.0
0.00268914,1226.408,0.0
0.00271382,1242.475,1e-12
0.00272615,1250.597,1e-12
0.00273849,1258.767,1e-12
0.00276316,1275.212,2e-12
0.00277549,1283.441,3e-12
0.00278783,1291.658,4e-12
0.00280016,1299.843,5e-12
0.0028125,1307.973,7e-12
0.00282484,1316.027,9e-12
0.00283717,1323.979,1.2e-11
0.00284951,1331.803,1.6e-11
0.00286184,1339.473,2e-11
0.00287418,1346.961,2.5e-11
0.00288651,1354.239,3.2e-11
0.00289885,1361.279,3.9e-11
0.00291118,1368.053,4.7e-11
0.00292352,1374.537,5.7e-11
0.00293586,1380.708,6.7e-11
0.00294819,1386.544,7.8e-11
0.00296053,1392.03,8.8e-11
0.00297286,1397.153,9.9e-11
0.0029852,1401.905,1.1e-10
0.00299753,1406.283,1.19e-10
0.00300987,1410.288,1.27e-10
0.0030222,1413.928,1.34e-10
0.00303454,1417.214,1.38e-10
0.00304687,1420.161,1.41e-10
0.00305921,1422.787,1.43e-10
0.00307155,1425.113,1.42e-10
0.00308388,1427.161,1.4e-10
0.00309622,1428.956,1.37e-10
0.00310855,1430.521,1.33e-10
0.00312089,1431.879,1.28e-10
0.00313322,1433.054,1.22e-10
0.00314556,1434.067,1.16e-10
0.00315789,1434.937,1.11e-10
0.00317023,1435.683,1.05e-10
0.00318257,1436.321,9.9e-11
0.0031949,1436.867,9.4e-11
0.00320724,1437.334,8.9e-11
0.00321957,1437.732,8.4e-11
0.00323191,1438.073,7.9e-11
0.00324424,1438.364,7.5e-11
0.00325658,1438.614,7.1e-11
0.00326891,1438.828,6.8e-11
0.00328125,1439.013,6.4e-11
0.00329359,1439.172,6.1e-11
0.00330592,1439.311,5.8e-11
0.00331826,1439.432,5.5e-11
0.00333059,1439.538,5.3e-11
0.00334293,1439.633,5e-11
0.00335526,1439.717,4.8e-11
0.00337993,1439.861,4.4e-11
0.00340461,1439.984,4e-11
0.00342928,1440.095,3.7e-11
0.00345395,1440.2,3.3e-11
0.00347862,1440.306,3.1e-11
0.00350329,1440.415,2.8e-11
0.00352796,1440.532,2.6e-11
0.00355263,1440.661,2.3e-11
0.00360197,1440.959,2e-11
0.00365132,1441.329,1.6e-11
0.00370066,1441.784,1.4e-11
0.00375,1442.333,1.2e-11
0.00384868,1443.738,8e-12
0.00394737,1445.56,6e-12
0.00404605,1447.802,5e-12
0.00414474,1450.445,3e-12
0.00434211,1456.863,2e-12
0.00453947,1464.473,1e-12
0.00473684,1473.066,1e-12
0.00493421,1482.46,1e-12
0.00513158,1492.504,1e-12
0.00532895,1503.06,1e-12
0.00552632,1514.004,1e-12
0.00572368,1525.209,1e-12
0.00592105,1536.548,1e-12
0.00631579,1559.199,1e-12
0.00671053,1580.763,1e-12
0.00710526,1600.078,1e-12
0.0075,1615.878,1e-12
0.00789474,1626.774,1e-12
0.00868421,1629.136,0.0
0.00907895,1617.823,0.0
0.00947368,1595.482,0.0
0.00957237,1588.139,0.0
0.00967105,1579.967,0.0
0.00986842,1561.245,0.0
0.00996711,1551.067,0.0
0.01006579,1540.528,0.0
0.01016447,1529.99,0.0
0.01026316,1519.68,0.0
0.01046053,1500.157,0.0
0.01065789,1482.35,0.0
0.01105263,1451.728,0.0
0.01144737,1425.058,0.0
0.01164474,1413.073,0.0
0.01174342,1407.824,0.0
0.01184211,1403.418,0.0
0.01194079,1400.369,0.0
0.01203947,1399.499,0.0
0.01223684,1397.56,0.0
0.01243421,1395.43,0.0
0.01263158,1393.156,0.0
0.01302632,1388.284,0.0
0.01342105,1383.209,0.0
0.01421053,1372.823,0.0
0.015,1362.517,0.0
0.01578947,1352.469,0.0
0.01657895,1342.718,0.0
0.01736842,1333.236,0.0
0.01894737,1314.97,0.0
0.02052632,1296.794,0.0
0.02210526,1278.035,0.0
0.02368421,1258.161,0.0
0.02526316,1236.759,0.0
0.02684211,1213.74,0.0
0.02842105,1190.057,0.0
0.03,1170.131,0.0
0.0315,1170.131,0.0
NO,,
0,300.0,0.0
4.934e-05,331.475,1.26e-10
9.868e-05,360.18,1.55e-10
0.00014803,386.423,1.9e-10
0.00019737,410.492,2.3e-10
0.00029605,452.851,3.3e-10
0.00039474,489.558,4.63e-10
0.00049342,522.005,6.4e-10
0.00059211,551.304,8.75e-10
0.00078947,602.922,1.552e-09
0.00098684,650.452,2.655e-09
0.00118421,696.852,4.455e-09
0.00138158,744.143,7.406e-09
0.00157895,793.839,1.2289e-08
0.00177632,847.271,2.0441e-08
0.00197368,905.918,3.4095e-08
0.00207237,938.122,4.4531e-08
0.00217105,972.838,5.8236e-08
0.00226974,1010.665,7.6049e-08
0.00236842,1052.37,9.889e-08
0.00246711,1098.883,1.27684e-07
0.00251645,1124.353,1.44844e-07
0.00256579,1151.444,1.63874e-07
0.00259046,1165.621,1.74168e-07
0.00261513,1180.223,1.84952e-07
0.0026398,1195.238,1.96219e-07
0.00266447,1210.645,2.07961e-07
0.00268914,1226.408,2.20169e-07
0.00271382,1242.475,2.32831e-07
0.00272615,1250.597,2.3935e-07
0.00273849,1258.767,2.45981e-07
0.00276316,1275.212,2.59528e-07
0.00277549,1283.441,2.66484e-07
0.00278783,1291.658,2.73549e-07
0.00280016,1299.843,2.80721e-07
0.0028125,1307.973,2.88002e-07
0.00282484,1316.027,2.95391e-07
0.00283717,1323.979,3.02889e-07
0.00284951,1331.803,3.10496e-07
0.00286184,1339.473,3.18214e-07
0.00287418,1346.961,3.26041e-07
0.00288651,1354.239,3.33979e-07
0.00289885,1361.279,3.42025e-07
0.00291118,1368.053,3.50179e-07
0.00292352,1374.537,3.58436e-07
0.00293586,1380.708,3.66793e-07
0.00294819,1386.544,3.75242e-07
0.00296053,1392.03,3.83775e-07
0.00297286,1397.153,3.92382e-07
0.0029852,1401.905,4.01051e-07
0.00299753,1406.283,4.09768e-07
0.00300987,1410.288,4.18517e-07
0.0030222,1413.928,4.27282e-07
0.00303454,1417.214,4.36045e-07
0.00304687,1420.161,4.44789e-07
0.00305921,1422.787,4.53496e-07
0.00307155,1425.113,4.62147e-07
0.00308388,1427.161,4.70726e-07
0.00309622,1428.956,4.79216e-07
0.00310855,1430.521,4.87602e-07
0.00312089,1431.879,4.95869e-07
0.00313322,1433.054,5.04006e-07
0.00314556,1434.067,5.12e-07
0.00315789,1434.937,5.19841e-07
0.00317023,1435.683,5.27521e-07
0.00318257,1436.321,5.35032e-07
0.0031949,1436.867,5.42368e-07
0.00320724,1437.334,5.49525e-07
0.00321957,1437.732,5.56498e-07
0.00323191,1438.073,5.63285e-07
0.00324424,1438.364,5.69885e-07
0.00325658,1438.614,5.76296e-07
0.00326891,1438.828,5.82518e-07
0.00328125,1439.013,5.88554e-07
0.00329359,1439.172,5.94402e-07
0.00330592,1439.311,6.00067e-07
0.00331826,1439.432,6.05551e-07
0.00333059,1439.538,6.10856e-07
0.00334293,1439.633,6.15985e-07
0.00335526,1439.717,6.20943e-07
0.00337993,1439.861,6.30357e-07
0.00340461,1439.984,6.3914e-07
0.00342928,1440.095,6.4733e-07
0.00345395,1440.2,6.54963e-07
0.00347862,1440.306,6.62073e-07
0.00350329,1440.415,6.68698e-07
0.00352796,1440.532,6.74871e-07
0.00355263,1440.661,6.80624e-07
0.00360197,1440.959,6.90963e-07
0.00365132,1441.329,7.00001e-07
0.00370066,1441.784,7.0793e-07
0.00375,1442.333,7.14914e-07
0.00384868,1443.738,7.26461e-07
0.00394737,1445.56,7.35739e-07
0.00404605,1447.802,7.43337e-07
0.00414474,1450.445,7.49674e-07
0.00434211,1456.863,7.59468e-07
0.00453947,1464.473,7.67055e-07
0.00473684,1473.066,7.7321e-07
0.00493421,1482.46,7.7839e-07
0.00513158,1492.504,7.82876e-07
0.00532895,1503.06,7.86844e-07
0.00552632,1514.004,7.90411e-07
0.00572368,1525.209,7.93652e-07
0.00592105,1536.548,7.96619e-07
0.00631579,1559.199,8.01814e-07
0.00671053,1580.763,8.06298e-07
0.00710526,1600.078,8.10158e-07
0.0075,1615.878,8.1344e-07
0.00789474,1626.774,8.16168e-07
0.00868421,1629.136,8.19995e-07
0.00907895,1617.823,8.21314e-07
0.00947368,1595.482,8.22202e-07
0.00957237,1588.139,8.22365e-07
0.00967105,1579.967,8.22501e-07
0.00986842,1561.245,8.22692e-07
0.00996711,1551.067,8.22754e-07
0.01006579,1540.528,8.22794e-07
0.01016447,1529.99,8.22813e-07
0.01026316,1519.68,8.22814e-07
0.01046053,1500.157,8.22766e-07
