N,Unnamed: 1,Unnamed: 2
0,300.0,0.0
2.467e-05,367.811,0.0
4.934e-05,434.126,0.0
7.401e-05,499.022,0.0
9.868e-05,562.738,0.0
0.00011102,594.294,0.0
0.00012336,625.688,0.0
0.00013569,656.957,0.0
0.00014803,688.139,0.0
0.00015419,703.715,0.0
0.00016036,719.285,0.0
0.00016653,734.855,0.0
0.0001727,750.427,0.0
0.00017887,766.008,0.0
0.00018503,781.6,0.0
0.0001912,797.208,0.0
0.00019737,812.836,0.0
0.00020354,828.488,0.0
0.0002097,844.167,1e-12
0.00021587,859.877,1e-12
0.00022204,875.622,1e-12
0.00022821,891.404,1e-12
0.00023437,907.226,1e-12
0.00024671,938.995,1e-12
0.00025288,954.949,2e-12
0.00025905,970.952,2e-12
0.00027138,1003.103,2e-12
0.00028372,1035.447,3e-12
0.00029605,1067.978,5e-12
0.00030839,1100.676,6e-12
0.00032072,1133.509,9e-12
0.00033306,1166.43,1.3e-11
0.00034539,1199.373,1.9e-11
0.00035156,1215.821,2.4e-11
0.00035773,1232.241,3e-11
0.00037007,1264.952,4.6e-11
0.00037623,1281.195,5.7e-11
0.0003824,1297.343,7.2e-11
0.00038857,1313.377,9.1e-11
0.00039474,1329.275,1.15e-10
0.0004009,1345.014,1.46e-10
0.00040707,1360.571,1.84e-10
0.00041324,1375.919,2.32e-10
0.00041941,1391.033,2.91e-10
0.00042558,1405.885,3.64e-10
0.00043174,1420.45,4.53e-10
0.00043791,1434.697,5.6e-10
0.00044408,1448.601,6.88e-10
0.00045025,1462.133,8.39e-10
0.00045641,1475.268,1.014e-09
0.00046258,1487.979,1.215e-09
0.00046875,1500.243,1.442e-09
0.00047492,1512.037,1.694e-09
0.00048109,1523.343,1.97e-09
0.00048725,1534.142,2.265e-09
0.00049342,1544.422,2.576e-09
0.00049959,1554.172,2.897e-09
0.00050576,1563.385,3.221e-09
0.00051192,1572.06,3.54e-09
0.00051809,1580.197,3.845e-09
0.00052426,1587.801,4.131e-09
